country,population,growth_rate,world_percentage,area_sq_km,pop_density,rank
India,1417173173,0.8099999999999999,17.849999999999998,3287590.0,480.5033,1
China,1425887337,-0.02,17.810000000000002,9706961.0,151.2696,2
United States,338289857,0.5,4.25,9372610.0,37.1686,3
Indonesia,275501339,0.74,3.47,1904569.0,147.8196,4
Pakistan,235824862,1.9800000000000002,3.0,881912.0,311.9625,5
Nigeria,218541212,2.41,2.8000000000000003,923768.0,245.7312,6
Brazil,215313498,0.52,2.7,8515767.0,25.8936,7
Bangladesh,171186372,1.03,2.16,147570.0,1328.6803,8
Russia,144713314,-0.19,1.7999999999999998,17098242.0,8.82,9
Mexico,127504125,0.75,1.6,1964375.0,66.0797,10
Ethiopia,123379924,2.55,1.58,1104300.0,112.1126,11
Japan,123951692,-0.53,1.54,377930.0,338.2566,12
Philippines,115559009,1.54,1.47,342353.0,393.5251,13
Egypt,110990103,1.5599999999999998,1.41,1002450.0,113.2318,14
DR Congo,99010212,3.29,1.28,2344858.0,45.1083,15
Vietnam,98186856,0.6799999999999999,1.23,331212.0,315.411,16
Iran,88550570,0.7000000000000001,1.11,1648195.0,54.9601,17
Turkey,85341241,0.5599999999999999,1.0699999999999998,783562.0,109.5206,18
Germany,83369843,-0.09,1.04,357114.0,238.4002,19
Thailand,71697030,0.15,0.8999999999999999,513120.0,140.5416,20
United Kingdom,67508936,0.33999999999999997,0.8500000000000001,242900.0,279.9851,21
Tanzania,65497748,2.96,0.84,945087.0,76.1324,22
France,64626628,0.2,0.8099999999999999,551695.0,118.2646,23
South Africa,59893885,0.8699999999999999,0.75,1221037.0,49.8022,24
Italy,59037474,-0.27999999999999997,0.74,301336.0,199.078,25
Kenya,54027487,1.9900000000000002,0.69,580367.0,96.8138,26
Myanmar,54179306,0.74,0.6799999999999999,676578.0,83.6227,27
Colombia,51874024,0.41000000000000003,0.65,1141748.0,46.9447,28
South Korea,51815810,-0.06,0.65,100210.0,530.5744,29
Uganda,47249585,2.82,0.61,241550.0,242.2817,30
Sudan,46874204,2.63,0.6,1886068.0,25.7543,31
Spain,47558630,-0.08,0.59,505992.0,95.1236,32
Argentina,45510318,0.58,0.5700000000000001,2780400.0,16.726,33
Algeria,44903225,1.5699999999999998,0.5700000000000001,2381741.0,19.1484,34
Iraq,44496122,2.27,0.5700000000000001,438317.0,104.8183,35
Afghanistan,41128771,2.7,0.53,652230.0,64.7622,36
Poland,39857145,2.93,0.51,312679.0,134.0152,37
Canada,38454327,0.8500000000000001,0.48,9984670.0,4.3256,38
Morocco,37457971,1.02,0.47000000000000003,446550.0,84.7861,39
Saudi Arabia,36408820,1.48,0.45999999999999996,2149690.0,17.1871,40
Ukraine,39701739,-7.449999999999999,0.45999999999999996,603500.0,63.4184,41
Angola,35588987,3.08,0.45999999999999996,1246700.0,29.425,42
Uzbekistan,34627652,1.55,0.44,447400.0,79.8002,43
Yemen,33696614,2.2399999999999998,0.43,527968.0,65.2496,44
Peru,34049588,0.89,0.43,1285216.0,26.8381,45
Malaysia,33938221,1.09,0.43,330803.0,104.4241,46
Ghana,33475870,1.9300000000000002,0.43,238533.0,149.965,47
Mozambique,32969518,2.81,0.42,801590.0,43.1056,48
Nepal,30547580,1.1400000000000001,0.38999999999999996,147181.0,215.5325,49
Madagascar,29611714,2.41,0.38,587041.0,52.124,50
Ivory Coast,28160542,2.53,0.36,322463.0,90.7957,51
Venezuela,28301696,1.9,0.36,916445.0,32.6949,52
Cameroon,27914536,2.63,0.36,475442.0,60.6023,53
Niger,26207977,3.8,0.33999999999999997,1267000.0,21.4754,54
Australia,26177413,1.0,0.33,7692024.0,3.4372,55
North Korea,26069416,0.35000000000000003,0.33,120538.0,217.2645,56
Taiwan,23893394,0.13,0.3,36193.0,660.9188,57
Mali,22593590,3.1,0.29,1240192.0,19.0902,58
Burkina Faso,22673762,2.55,0.29,272967.0,84.9835,59
Syria,22125249,4.9799999999999995,0.29,185180.0,126.4881,60
Sri Lanka,21832143,0.27999999999999997,0.27,65610.0,353.9214,61
Malawi,20405317,2.58,0.26,118484.0,222.0169,62
Zambia,20017675,2.76,0.26,752612.0,27.6702,63
Romania,19659267,1.1900000000000002,0.25,238391.0,86.4604,64
Chile,19603733,0.13,0.25,756102.0,26.4005,65
Kazakhstan,19397998,1.08,0.24,2724900.0,7.2625,66
Chad,17723315,3.1300000000000003,0.22999999999999998,1284000.0,14.516,67
Ecuador,18001000,1.05,0.22999999999999998,276841.0,73.2424,68
Somalia,17597511,3.1,0.22999999999999998,637657.0,28.9211,69
Guatemala,17843908,1.39,0.22999999999999998,108889.0,168.8319,70
Senegal,17316449,2.58,0.22,196722.0,92.2618,71
Netherlands,17564014,0.31,0.22,41850.0,523.264,72
Cambodia,16767842,1.06,0.21,181035.0,95.9938,73
Zimbabwe,16320537,2.11,0.21,390757.0,43.0798,74
Guinea,13859341,2.39,0.18,245857.0,57.7511,75
Rwanda,13776698,2.31,0.18,26338.0,571.3289,76
Benin,13352864,2.7,0.16999999999999998,112622.0,121.6107,77
Burundi,12889576,2.71,0.16999999999999998,27834.0,515.5202,78
Tunisia,12356117,0.83,0.16,163610.0,80.1894,79
Bolivia,12224110,1.35,0.15,1098581.0,11.436,80
Haiti,11584996,1.21,0.15,27750.0,425.4268,81
Belgium,11655930,0.26,0.15,30528.0,385.9359,82
Jordan,11285869,0.44999999999999996,0.13999999999999999,89342.0,127.6781,83
Dominican Republic,11228821,0.9299999999999999,0.13999999999999999,48671.0,234.5885,84
Cuba,11212191,-0.16,0.13999999999999999,109884.0,107.8463,85
South Sudan,10913164,1.6099999999999999,0.13999999999999999,619745.0,17.5475,86
Sweden,10549347,0.59,0.13,450295.0,26.0558,87
Honduras,10432860,1.54,0.13,112492.0,94.6805,88
Czech Republic,10493986,0.01,0.13,78865.0,135.9521,89
Azerbaijan,10358074,0.53,0.13,86600.0,125.991,90
